idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,doi,autores
00000000008160,True,Publicado en revista especializada,"A system-theoretical, architecture-based approach to ontology management",Países Bajos,Studies in Health Technology and Informatics,0926-9630,2012,180,N/A,1087 - 1089,,"BERND BLOBEL, MATHIAS BROCHHAUSEN, CAROLINA GONZALEZ, DIEGO MAURICIO LOPEZ GUTIERREZ, CAROLINA GONZALEZ SERRANO, FRANK OEMIG"
00000000008160,True,Publicado en revista especializada,A Reference Architecture for Sharing CDA Documents in Colombia,Alemania,European Journal Of Biomedical Informatics,1801-5603,2012,8,3,11 - 17,,"EDGAR DE LA CRUZ, DIEGO MAURICIO LOPEZ GUTIERREZ, BERND BLOBEL"
00000000008160,True,Publicado en revista especializada,Architectural Approach for Quality and Safety Aware HealthCare Social Networks,Países Bajos,Studies in Health Technology and Informatics,0926-9630,2012,180,N/A,793 - 797,,"DIEGO MAURICIO LOPEZ GUTIERREZ, BERND BLOBEL, CAROLINA GONZALEZ, CAROLINA GONZALEZ SERRANO"
00000000008160,True,Publicado en revista especializada,Discovering the campus together: a mobile and computer based learning experience,Estados Unidos,Journal of Network and Computer Applications,1084-8045,2012,35,1,176 - 188,,"MAR PEREZ-SANAGUSTIN, GUSTAVO ADOLFO RAMIREZ GONZALEZ, DAVINIA HERNANDEZ-LEO, MARIO MUNOZ ORGANERO, PATRICIA SANTOS, JOSEP BLAT, CARLOS DELGADO KLOOS"
00000000008160,True,Publicado en revista especializada,Framework for contextualized learning ecosystems,Italia,Lecture Notes in Computer Science,0302-9743,2011,6964,N/A,260 - 270,,"MARIO MUNOZ ORGANERO, GUSTAVO ADOLFO RAMIREZ GONZALEZ, PEDRO MUNOZ MERINO, CARLOS DELGADO KLOOS"
00000000008160,True,Publicado en revista especializada,Teaching Software Architecture in LATAM Universities through a Distributed CSCL Activity,Inglaterra,International Journal For Digital Society,2040-2570,2011,2,3,528 - 538,,"JOSE LUIS ARCINIEGAS HERRERA, FABER GIRALDO, ANDRES NEYEM, SERGIO OCHOA"
00000000008160,True,Publicado en revista especializada,A Reference Architecture for Integrated EHR in Colombia,Países Bajos,Studies in Health Technology and Informatics,0926-9630,2011,169,N/A,305 - 309,,"DIEGO MAURICIO LOPEZ GUTIERREZ, CAROLINA GONZALEZ SERRANO, GUSTAVO ANDRES URIBE GOMEZ"
00000000008160,True,Publicado en revista especializada,Ontology-based Framework for Electronic Health Records Interoperability,Países Bajos,Studies in Health Technology and Informatics,0926-9630,2011,169,1,694 - 698,,"CAROLINA GONZALEZ, BERND BLOBEL, DIEGO MAURICIO LOPEZ GUTIERREZ, CAROLINA GONZALEZ SERRANO"
00000000008160,True,Publicado en revista especializada,"Plataforma de descubrimiento de servicios para ambientes de computación ubicua basada en preferencias de usuario, especificaciones de dispositivos y contexto de entrega",Colombia,Ingenieria y Universidad,0123-2126,2011,13,1,10 - 20,,"JUAN CARLOS CORRALES MUNOZ, LUIS JAVIER SUAREZ MEZA"
00000000008160,True,Publicado en revista especializada,EDITV: EDUCACIÓN VIRTUAL BASADO EN TELEVISIÓN INTERACTIVA PARA SOPORTAR PROGRAMAS A DISTANCIA,Colombia,"e-Colabora: Revista de Ciencia, Educación, Innovación y Cultura Apoyadas por Redes de Tecnología Avanzada",2027-7415,2011,1,1,42 - 47,,"JOSE LUIS ARCINIEGAS, JUAN PABLO AMAYA, FRANCO URBANO, WILMAR YESID CAMPO MUNOZ, ROBERT EUSCATEGUI, XABIEL GARCIA, ALEXANDER GARCIA"
00000000008160,True,Publicado en revista especializada,Be4SeD: Benchmarking para evaluación de técnicas de descubrimiento de servicios,Colombia,Ingeniería Y Competitividad,0123-3033,2011,13,1,61 - 75,,"JUAN CARLOS CORRALES MUNOZ, LUIS JAVIER SUAREZ MEZA, OSCAR MAURICIO CAICEDO RENDON"
00000000008160,True,Publicado en revista especializada,Modelo para evaluar sistemas de recuperación de procesos de negocio,Colombia,Revista De Investigaciones,0121-067X,2011,17,N/A,65 - 76,,JUAN CARLOS CORRALES MUNOZ
00000000008160,True,Publicado en revista especializada,Composición de Servicios en Ambientes de Computación Ubicua,Brasil,Cadernos De Informática,1519-132X,2011,6,1,203 - 2010,,"JUAN CARLOS CORRALES MUNOZ, OSCAR MAURICIO CAICEDO"
00000000008160,True,Publicado en revista especializada,Mobflow: movilidad para los procesos de negocio de la organización,Colombia,Revista Ingenierías Universidad De Medellín,1692-3324,2011,10,18,107 - 116,,JUAN CARLOS CORRALES MUNOZ
00000000008160,True,Publicado en revista especializada,"Esquema de servicios para Televisión Digital Interactiva, basados en el protocolo REST-JSON",Brasil,Cadernos De Informática,1519-132X,2011,6,1,233 - 240,,"JOSE LUIS ARCINIEGAS HERRERA, WILMAR YESID CAMPO MUNOZ, GABRIEL ELIAS CHANCHI GOLONDRINO"
00000000008160,True,Publicado en revista especializada,OneWeb: Web content adaptation platform based on W3C Mobile Web Initiative guidelines,Colombia,Ingenieria e Investigacion,0120-5609,2011,31,1,117 - 126,,"FRANCISCO ORLANDO MARTINEZ PABON, GUSTAVO ANDRES URIBE GOMEZ, FABIAN LEONIDAS MOSQUERA PALTA"
00000000008160,True,Publicado en revista especializada,Survering Mobile Television,Pakistán,International Journal of Communication Networks and Information Security,2076-0930,2011,3,1,25 - 35,,"JOSE LUIS ARCINIEGAS HERRERA, CLAUDIA ACEVEDO, GABRIEL ELIAS CHANCHI GOLONDRINO"
00000000008160,True,Publicado en revista especializada,Soluciones Organizacionales a partir de Ontologías,Colombia,Avances En Sistemas E Informática,1657-7663,2011,8,1,101 - 112,,"EDUARDO ROJAS PINEDA, ELIZABETH GRANADOS PEMBERTY"
00000000008160,True,Publicado en revista especializada,Plataforma para descubrimiento de servicios en ambientes ubicuos,Colombia,Revista Facultad de Ingenieria,0120-6230,2011,58,N/A,227 - 237,,"JUAN CARLOS CORRALES MUNOZ, LUIS JAVIER SUAREZ MEZA, OSCAR MAURICIO CAICEDO RENDON"
00000000008160,True,Publicado en revista especializada,Quality Web Information Retrieval: Towards Improving Semantic Recommender Systems with Friendsourcing,Colombia,Cadernos De Informática,1519-132X,2011,6,1,289 - 292,,"ALICIA DIAZ, REGINA MOTZ, ALEJANDRO FERNANDEZ, JOSE VALDENI DE LIMA, DIEGO MAURICIO LOPEZ GUTIERREZ"
00000000008160,True,Publicado en revista especializada,Sistema Experto para el desarrollo de soluciones de interoperabilidad en Sistemas de Información para Laboratorios Clínicos basado en el Estándar Internacional HL7,Colombia,Revista Virtual Universidad Católica Del Norte,0124-5821,2011,32,N/A,73 - 103,,"MONICA YANET ACOSTA, IVAN GUILLERMO ARTEAGA CABRERA CABRERA, CAROLINA GONZALEZ, DIEGO MAURICIO LOPEZ GUTIERREZ, CAROLINA GONZALEZ SERRANO"
00000000008160,True,Publicado en revista especializada,Training the biomedical informatics workforce in Latin America: results of a needs assessment,Colombia,BMJ Open,2044-6055,2011,1,2,e000233 -,10.1136/bmjopen-2011-000233,"MAGALY BLAS, WALTER CURIOSO, PATRICIA GARCIA, DIEGO MAURICIO LOPEZ GUTIERREZ"
