nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento,idgruplac,nombre_grupo,idcvlac
David Camilo Corrales,Corrales D.,56695220700,9-s2.0-56695220700,0000-0003-4717-3040,33,2015-07-01,199,268,10,50,update,"Control and Systems Engineering;Statistics, Probability and Uncertainty;Engineering (all);Instrumentation;Information Systems;Agronomy and Crop Science;Information Systems and Management;Statistics and Probability;Atomic and Molecular Physics, and Optics;Fluid Flow and Transfer Processes;Management Information Systems;Analytical Chemistry;Forestry;Signal Processing;Computer Science Applications;Computer Science (miscellaneous);Mathematics (all);Theoretical Computer Science;Mechanics of Materials;Environmental Engineering;Process Chemistry and Technology;Physics and Astronomy (miscellaneous);Plant Science;Safety, Risk, Reliability and Quality;Electrical and Electronic Engineering;Biochemistry;Agricultural and Biological Sciences (miscellaneous);Medicine (all);Food Science;Human-Computer Interaction;Materials Science (all);Soil Science;Chemistry (miscellaneous);Artificial Intelligence;Computer Vision and Pattern Recognition;Biomaterials;Control and Optimization;Software;Computer Science (all);Modeling and Simulation;Horticulture",2015-2022,Universidad del Cauca;Toulouse White Biotechnology,104717552;60210251,Departamento de Telemática,00000000008159;00000000008160,Grupo de Estudios Ambientales;Grupo de Ingeniería Telemática,0001427600
Wilber Acuna-Bravo,Acuna-Bravo W.,24528423700,9-s2.0-24528423700,0000-0002-6388-3897,33,2008-08-20,150,172,6,33,update,"Applied Mathematics;Computational Mechanics;Artificial Intelligence;Plant Science;Ecology, Evolution, Behavior and Systematics;Energy Engineering and Power Technology;Civil and Structural Engineering;Electrical and Electronic Engineering;Computer Science (all);Modeling and Simulation;Control and Optimization;Pharmacology (medical);Computer Networks and Communications;Computational Mathematics;Mechanical Engineering;Instrumentation;Engineering (all);Physical Therapy, Sports Therapy and Rehabilitation;Control and Systems Engineering;Industrial and Manufacturing Engineering;Signal Processing;Mathematics (all);Computer Science Applications;Renewable Energy, Sustainability and the Environment;Biomedical Engineering;Ecology;Pharmacology",2007-2022,Universidad del Cauca,60051434,No Aplica,00000000000694,Grupo de Investigación en Automática,0001548750
Gilberto Bolaños-Pantoja,Bolaños-Pantoja G.,6701335294,9-s2.0-6701335294,,33,2005-12-03,133,139,8,76,update,"Electronic, Optical and Magnetic Materials;Chemical Engineering (all);Materials Chemistry;Chemistry (all);Control and Systems Engineering;Metals and Alloys;Engineering (all);Mechanics of Materials;Mechanical Engineering;Hardware and Architecture;Surfaces, Coatings and Films;Materials Science (all);Building and Construction;Ceramics and Composites;Physics and Astronomy (all);Process Chemistry and Technology;Atomic and Molecular Physics, and Optics;Electrical and Electronic Engineering;Condensed Matter Physics",1990-2022,Universidad del Cauca,108661909,Grupo de Física de bajas temperaturas (FISBATEM),,,
Cristóbal Gnecco,Gnecco C.,6603164886,9-s2.0-6603164886,,32,2005-12-01,238,278,10,14,update,"Earth and Planetary Sciences (all);Archeology;Social Sciences (all);Archeology (arts and humanities);Visual Arts and Performing Arts;Literature and Literary Theory;Arts and Humanities (miscellaneous);Cultural Studies;Geography, Planning and Development;Arts and Humanities (all);History;Earth-Surface Processes;Anthropology",1994-2021,Universidad del Cauca,60051434,No Aplica,00000000003212,ESTUDIOS LINGUISTICOS PEDAGOGICOS Y SOCIO CULTURALES DEL SUROCCIDENTE COLOMBIANO,0000015270
Carlos Prieto,Prieto C.,35965308700,9-s2.0-35965308700,0000-0002-2217-7267,32,2010-05-12,177,220,7,235,update,"Medicine (all);Paleontology;Agricultural and Biological Sciences (miscellaneous);Ecology;Agricultural and Biological Sciences (all);Neuroscience (all);Animal Science and Zoology;Multidisciplinary;Plant Science;Aquatic Science;Insect Science;Molecular Biology;Ecology, Evolution, Behavior and Systematics;Genetics;Biochemistry, Genetics and Molecular Biology (all)",2005-2023,"Universidad del Atlántico, Colombia;Corporación Universitaria Autónoma del Cauca",115919591;60276620,Department of Biology,,,
Hernando Vargas-Uricoechea,Vargas-Uricoechea H.,55966016600,9-s2.0-55966016600,,31,2013-12-28,282,295,10,99,update,"Physiology (medical);Microbiology (medical);Pharmacology (medical);Endocrinology, Diabetes and Metabolism;Food Science;Emergency Medicine;Molecular Biology;Medicine (all);Immunology and Allergy;Biochemistry, Genetics and Molecular Biology (all);Endocrinology;Cardiology and Cardiovascular Medicine;Internal Medicine;Infectious Diseases;Nutrition and Dietetics;Endocrine and Autonomic Systems",2013-2023,Universidad del Cauca,104717539,Department of Internal Medicine,,,
Mario Francisco Delgado-Noguera,Delgado-Noguera M.,24831578700,9-s2.0-24831578700,0000-0002-1163-2041,30,2008-09-27,702,724,11,95,update,"Endocrinology;Obstetrics and Gynecology;Nutrition and Dietetics;Emergency Medicine;Critical Care and Intensive Care Medicine;Public Health, Environmental and Occupational Health;Medicine (all);Medicine (miscellaneous);Endocrinology, Diabetes and Metabolism;Surgery;Health Policy;Epidemiology;Anesthesiology and Pain Medicine;Pediatrics, Perinatology and Child Health;Pharmacology (medical)",2002-2022,Universidad del Cauca,60051434,No Aplica,00000000000095;00000000010563,Lactancia materna y alimentación complementaria;Investigacion en Anestesiologia GRIAN,0000011347
Yady Tatiana Solano-Correa,Solano-Correa Y.,57156565000,9-s2.0-57156565000,0000-0002-4867-1837,28,2016-03-16,221,270,12,48,update,"Water Science and Technology;Computers in Earth Sciences;Earth-Surface Processes;Signal Processing;Applied Mathematics;Computer Vision and Pattern Recognition;Electrical and Electronic Engineering;Management, Monitoring, Policy and Law;Computer Science Applications;Environmental Chemistry;Condensed Matter Physics;Pollution;Instrumentation;Earth and Planetary Sciences (miscellaneous);Electronic, Optical and Magnetic Materials;Global and Planetary Change;Geotechnical Engineering and Engineering Geology;Environmental Science (all);Aquatic Science;Geography, Planning and Development;Earth and Planetary Sciences (all);Atmospheric Science;Biochemistry",2014-2023,Universidad del Cauca,60051434,No Aplica,00000000008151;00000000008159,Optica y Laser;Grupo de Estudios Ambientales,0000000651
Alfonso Enrique Ramírez-Sanabria,Ramírez-Sanabria A.,57704822500,9-s2.0-57704822500,0000-0002-7557-4047,27,2022-05-29,326,329,10,91,update,"Inorganic Chemistry;Mechanical Engineering;Catalysis;Waste Management and Disposal;Electronic, Optical and Magnetic Materials;Surfaces and Interfaces;Engineering (all);Physical and Theoretical Chemistry;Physics and Astronomy (all);Materials Chemistry;Multidisciplinary;Chemical Engineering (all);Food Science;Materials Science (all);Surfaces, Coatings and Films;Organic Chemistry;Environmental Science (all);Condensed Matter Physics;Mechanics of Materials;Pollution;Fuel Technology;Metals and Alloys;Drug Discovery;Industrial and Manufacturing Engineering;Biochemistry;Biotechnology;Renewable Energy, Sustainability and the Environment;Process Chemistry and Technology;Chemistry (all)",2002-2022,Universidad del Cauca,104717528,Department of Chemistry,00000000008153,Catálisis,0000013323
Vanessa Agredo-Delgado,Agredo-Delgado V.,57195069921,9-s2.0-57195069921,,26,2017-07-26,31,35,4,96,update,"Public Health, Environmental and Occupational Health;Human-Computer Interaction;Decision Sciences (all);Modeling and Simulation;Computer Networks and Communications;Applied Mathematics;Control and Systems Engineering;Pollution;Computational Mathematics;Computer Science Applications;Mathematics (all);Computer Science (all);Communication;Theoretical Computer Science;Health, Toxicology and Mutagenesis;Education",2016-2023,Universidad del Cauca,60051434,No Aplica,,,
Luz Marina Sierra-Martínez,Sierra-Martínez L.,36802472400,9-s2.0-36802472400,0000-0003-3847-3324,26,2011-01-25,29,34,3,41,update,"Instrumentation;Engineering (all);Computer Science (all);Computational Theory and Mathematics;Library and Information Sciences;Information Systems and Management;Human-Computer Interaction;Building and Construction;Analytical Chemistry;Mathematics (all);Software;Computer Science Applications;Information Systems;Electrical and Electronic Engineering;Applied Mathematics;Atomic and Molecular Physics, and Optics;Biochemistry;Theoretical Computer Science;Education",2005-2021,Universidad del Cauca,60051434,No Aplica,00000000002157,Grupo I+D en Tecnologías de la Información,0000249130
Pablo H. Ruiz,Ruiz P.,56100326900,9-s2.0-56100326900,,26,2014-04-19,28,32,3,34,update,"Information Systems and Management;Communication;Control and Systems Engineering;Hardware and Architecture;Public Health, Environmental and Occupational Health;Transportation;Signal Processing;Biotechnology;Decision Sciences (all);Biomedical Engineering;Applied Microbiology and Biotechnology;Computer Science Applications;Computational Mathematics;Mathematics (all);Pollution;Computer Science (all);Theoretical Computer Science;Education;Artificial Intelligence;Human-Computer Interaction;Bioengineering;Urban Studies;Modeling and Simulation;Software;Applied Mathematics;Computer Networks and Communications;Electrical and Electronic Engineering;Health, Toxicology and Mutagenesis;Information Systems",2012-2022,Corporación Universitaria Comfacauca,127754098,Faculty of Engineering,,,
S. T. Pérez-Merchancano,Pérez-Merchancano S.,6603106663,9-s2.0-6603106663,,25,2005-12-01,508,672,7,19,update,"Electrical and Electronic Engineering;Physics and Astronomy (miscellaneous);Materials Science (all);Atomic and Molecular Physics, and Optics;Physical and Theoretical Chemistry;Control and Systems Engineering;Physics and Astronomy (all);Education;Electronic, Optical and Magnetic Materials;Surfaces, Coatings and Films;Condensed Matter Physics",1992-2019,Universidad del Cauca,118790556,Grupo de Semiconductores y Nuevos Materiales,,,
José Luis Hoyos Concha,Hoyos Concha J.,54789723200,9-s2.0-54789723200,,24,2012-01-03,112,114,4,54,update,"Microbiology;Horticulture;Management of Technology and Innovation;Energy (all);Health Professions  (miscellaneous);Geotechnical Engineering and Engineering Geology;Applied Microbiology and Biotechnology;Food Science;Management Science and Operations Research;Ecology;Chemistry (all);Business and International Management;Management, Monitoring, Policy and Law;Computer Science Applications;Health (social science);Multidisciplinary;Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Strategy and Management;Fluid Flow and Transfer Processes;Chemical Engineering (all);Instrumentation;Agronomy and Crop Science;Agricultural and Biological Sciences (all);Computer Science (all);Industrial and Manufacturing Engineering;Plant Science;Materials Science (all);Process Chemistry and Technology;Global and Planetary Change;Engineering (all);Animal Science and Zoology;Business, Management and Accounting (all)",2011-2023,Universidad del Cauca,60051434,No Aplica,,,
Ángela María Merchán-Galvis,Merchán-Galvis Á.,55530756200,9-s2.0-55530756200,0000-0003-2375-5513,24,2012-12-26,71,74,5,141,update,"Infectious Diseases;Surgery;Radiology, Nuclear Medicine and Imaging;Anesthesiology and Pain Medicine;Oncology;Gastroenterology;Cardiology and Cardiovascular Medicine;Psychiatry and Mental Health;Gerontology;Orthopedics and Sports Medicine;Clinical Psychology;Cancer Research;Geriatrics and Gerontology;Emergency Medicine;Critical Care and Intensive Care Medicine;Rheumatology;Medicine (all);Critical Care Nursing;Health Policy;Parasitology;Pediatrics, Perinatology and Child Health;Emergency Nursing;Education",2013-2023,Universidad del Cauca,60051434,No Aplica,00000000000095;00000000010563,Lactancia materna y alimentación complementaria;Investigacion en Anestesiologia GRIAN,0001373444
Edgar Holguín,Holguín E.,6701829117,9-s2.0-6701829117,,23,2005-12-03,42,52,4,29,update,"Electrical and Electronic Engineering;Physics and Astronomy (all);Surfaces, Coatings and Films;Engineering (all);Surfaces and Interfaces;Materials Science (all);Electronic, Optical and Magnetic Materials;Physics and Astronomy (miscellaneous);Condensed Matter Physics",1982-1997,Universidad del Cauca,60051434,No Aplica,,,
Katerine Márceles Villalba,Villalba K.,57193949845,9-s2.0-57193949845,,23,2017-04-27,8,8,2,33,update,Computer Science (all);Mathematics (all);Engineering (all),2017-2022,Institución Universitaria Colegio Mayor del Cauca,128401974,Faculty of Engineering,,,
