idcvlac,areas
0001479719,Humanidades;Historia y Arqueología;Historia
0001348276,Humanidades;Historia y Arqueología;Historia
0001348276,Humanidades;Historia y Arqueología;Historia de Colombia
0000002006,Humanidades;Historia y Arqueología;Historia
0000312304,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria"
0000312304,Ciencias Sociales;Otras Ciencias Sociales;Otras Ciencias Sociales
0000312304,Humanidades;Otras historias;Otras Historias Especializadas
0001564881,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria"
0000063743,Ciencias Sociales;Periodismo y Comunicaciones;Medios y Comunicación Social
0000063743,Ciencias Sociales;Periodismo y Comunicaciones;Ciencias de la Información (Aspectos Sociales)
0000063743,"Ciencias Sociales;Sociología;Temas Especiales (Estudios de Género, Temas Sociales, Estudios de la Familia)"
0000063743,Humanidades;Otras Humanidades;Otras Humanidades
0001443120,Humanidades;Otras historias;Otras Historias Especializadas
0001443120,"Ciencias Sociales;Otras Ciencias Sociales;Ciencias Sociales, Interdisciplinaria"
0000000404,Humanidades;Historia y Arqueología;Historia
0001351820,Humanidades;Historia y Arqueología;Historia
0000087742,Humanidades;Historia y Arqueología;Historia
0000087742,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)"
0000709786,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Ingeniería de Producción
0000709786,Ingeniería y Tecnología;Ingeniería Mecánica;Ingeniería Mecánica
0000709786,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Ingeniería Industrial
0000709786,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías
0000709786,Ciencias Naturales;Ciencias Físicas;Física de la Materia
0000025619,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Ingeniería Industrial
0000724971,Ingeniería y Tecnología;Ingeniería de los Materiales;Cerámicos
0000724971,"Ciencias Médicas y de la Salud;Biotecnología en Salud;Biomateriales (Relacionados con Implantes, Dispositivos, Sensores)"
0000724971,Ciencias Médicas y de la Salud;Biotecnología en Salud;Biotecnología Relacionada con la Salud
