idgruplac,verificado,tipo,nombre,lugar,fecha,disponibilidad,institucion,autores
00000000018223,True,Servicios,Implementación de un sistema de mejora continua Kaizen aplicado al área de colisión del Taller SMI Automotriz,Colombia,2018,Restringido,Servicios y Negocios del Cauca,JULLY ANDREA MORENO MARTINEZ
00000000003965,True,Industrial,PELICULAS BIODEGRADABLES PARA LA FABRICACION DE GUANTES PARA EL CONSUMO DE ALIMENTOS,Colombia,2016,Restringido,"Ministerio de Ciencia, Tecnología e Innovación.","KAREN DELGADO DELGADO, CAMILO ELIAS MONTILLA BUITRAGO, GIOVANNI ALEJANDRO VARONA BELTRAN, HECTOR SAMUEL VILLADA CASTILLO"
00000000003965,True,Industrial,PROCESO DE OBTENCIÓN DE PELÍCULAS BIODEGRADABLES PARA LA FABRICACIÓN DE GUANTES PARA EL CONSUMO DE ALIMENTOS,Colombia,2016,Restringido,Colciencias,"GIOVANNI ALEJANDRO VARONA BELTRAN, KAREN DELGADO DELGADO, CAMILO ELIAS MONTILLA BUITRAGO, HECTOR SAMUEL VILLADA CASTILLO"
00000000003965,True,Industrial,PLATO DESECHABLE BIODEGRADABLE ELABORADO A PARTIR DE HARINA DE YUCA,Colombia,2016,Restringido,UNIVERSIDAD DEL CAUCA,"HECTOR SAMUEL VILLADA CASTILLO, ELSA SUSANA CAJIAO BUITRON, KAREN LORENA DELGADO MUNOZ, CAMILO ELIAS MONTILLA BUITRAGO, ALCY RENE CERON MOSQUERA"
00000000003965,True,Industrial,BOLSA BIODEGRADABLE PARA ALMÁCIGOS DE CAFÉS ESPECIALES,Colombia,2017,Restringido,UNIVERSIDAD DEL CAUCA,"HECTOR SAMUEL VILLADA CASTILLO, DIEGO FABIAN JOAQUI DAZA, PEDRO ALBAN BOLANOS, GERMAN ANTONIO ARBOLEDA MUNOZ, JHON JAIRO PALECHOR TROCHEZ"
00000000022270,True,Industrial,Sachet multicapa compostable para azucar organica 5 gr,Colombia,2020,Restringido,Ingenio Del Cauca S.A. - Incauca,SEBASTIAN ZULUAGA ARISTIZABAL
00000000003965,True,Industrial,MATERIAL COMPUESTO A PARTIR DE AFRECHO DE YUCA PARA LA FABRICACIÓN DE RECIPIENTES Y ENVASES BIODEGRADABLES,Colombia,2018,Restringido,UNIVERSIDAD DEL CAUCA,"HECTOR SAMUEL VILLADA CASTILLO, ALCY RENE CERON MOSQUERA, SUSANA CAJIAO"
00000000003965,True,Industrial,ABONO ORGANICO EN ESQUEMA COMUNITARIO EN LAS VEREDAS LA YUNGA Y RÍO HONDO,Colombia,2020,No restringido,Sistema General de Regalías,RICARDO CAMACHO MUNOZ
00000000008151,True,Industrial,Construcción de un Sistema Telescopico para Estudios atmosféricos,Colombia,1996,Restricta,UNIVERSIDAD DEL VALLE,"EFRAIN SOLARTE RODRIGUEZ, EVAL JOSE MARIA BACA MIRANDA, ALVARO EFRAIN BASTIDAS GUSTIN"
00000000008151,True,Industrial,"Construcción de un Laser Infrarrojo de Potencia, Aplicable a las Tecnologias de Fabricación y modificación de materiales",Colombia,1996,Irrestricta,Banco De La República - Bogotá,"ALVARO EFRAIN BASTIDAS GUSTIN, EFRAIN SOLARTE RODRIGUEZ, MARCELO AVILA ORTIZ, GERMAN PEREZ, EVAL BACCA"
00000000015254,True,Industrial,Videojuego Pwesa´n Piyaka- Aprender Jugando,Colombia,2015,Restringido,SERVICIO NACIONAL DE APRENDIZAJE SENA,ALVARO ANTONIO CORREAL CORTES
00000000015254,True,Industrial,Prototipo Software MECAPS,Colombia,2017,Restringido,SERVICIO NACIONAL DE APRENDIZAJE SENA,LUIS ENRIQUE GARZON VELA
00000000015254,True,Industrial,El chef enSeña,Colombia,2017,Restringido,Servicio Nacional De Aprendizaje Sede Popayan,VICTOR ALFONSO RIASCOS MENDEZ
00000000015254,True,Industrial,Prototipo software ARCHINET,Colombia,2018,No restringido,SERVICIO NACIONAL DE APRENDIZAJE SENA,LUIS ENRIQUE GARZON VELA
00000000011867,True,Industrial,TAMPU : Portal ecoturistico y multicultural del Cauca,Colombia,2002,Irrestricta,UNIVERSIDAD DEL CAUCA,"OLGA PATRICIA SOLIS VALENCIA, HELVIA FIEDRA BRAENDLY"
00000000003965,True,Industrial,BOLSA BIODEGRADABLE PARA ALMÁCIGOS DE CAFÉS ESPECIALES,Colombia,2016,Restringido,"Ministerio de Ciencia, Tecnología e Innovación.","DIEGO FABIAN JOAQUI DAZA, GERMAN ANTONIO ARBOLEDA MUNOZ, JHON JAIRO PALECHOR TROCHEZ, HECTOR VILLADA CASTILLO, PEDRO ALBAN BOLANOS"
00000000010009,True,Industrial,Microscopío Óptico Automátizado,Colombia,2017,Restringido,UNIVERSIDAD DEL CAUCA,RUBIEL VARGAS CANAS
