idgruplac,verificado,tipo,nombre,lugar,revista,issn,fecha,volumen,fasciculo,paginas,autores
00000000010589,True,Revista de divulgación,La Unidad de Paisaje Rural Cerros Tutelares de Popayán y su potencialidad en la construcción de ciudadanía,Colombia,Conciencia Revista Multidisciplinaria,2256-1625,2013,3,,36 - 45,"LILIANA VARGAS AGREDO, LORENA VILLAQUIRAN LOPEZ"
00000000010589,True,Revista de divulgación,"Programa pedagógico con aplicación de TIC, dirigido a la primera infancia y la juventud, como aporte a la salvaguradia de las Procesiones de Semana Santa en Popayán-Colombia",Colombia,Trazsos Diseño,2011-1800,2013,7,,78 - 89,"LILIANA VARGAS AGREDO, CLARA LUCIA BURBANO GONZALES"
00000000011727,True,Revista de divulgación,Cuestiones sobre el tema de juventud,Colombia,Taller De Forja,2339-4560,2013,6,,66 - 73,ADRIANA DEL ROCIO HERNANDEZ YASNO
00000000004407,True,Revista de divulgación,¿DESPUÉS DE LA INVISIBILIDAD LA INDIFERENCIA?,Colombia,Conciencia Revista Multidisciplinaria,2256-1625,2014,3,,55 - 77,RAUL HERNANDO CORTES LANDAZURY
00000000011727,True,Revista de divulgación,El nacimiento del Espíritu creativo en una noche de abril,Colombia,Escópica - Comunicación/Imagen/Cultura,2346-2280,2019,5,5,58 - 60,LAURA PATRICIA LEGARDA BURBANO
00000000011727,True,Periódico de noticias,"Recuperación de memoria del proceso custodio de semillas de resguardo indigena de coconuco, Cauca",Colombia,Conciencia Revista Multidisciplinaria,2256-1625,2014,4,,32 - 42,FRANCI YORLINE ASTAIZA BRAVO
00000000011727,True,Revista de divulgación,Usabilidad y Reto para la Revitalización de la Lengua Nasa Yuwe,Colombia,Escópica - Comunicación/Imagen/Cultura,2346-2280,2019,5,,26 - 31,NATALIA CORDOBA CLAROS
00000000011727,True,Revista de divulgación,¿Cuanta tierra necesita el hombre? Ensayo fotográfico para documentar una crónica de viaje,Colombia,Escópica - Comunicación/Imagen/Cultura,2346-2280,2019,4,,85 - 90,ALEX ANDRES LOPEZ GUEVARA
00000000011727,True,Revista de divulgación,"NUEVOS ESCENARIOS DE PARTICIPACIÓN A TRAVÉS DE LAS TIC, PARA EL FORTALECIMIENTO DE LA LENGUA NASA YUWE EN EL CABILDO INDÍGENA KITE KIWE",México,Revista de Estudios Inrerculturales,2395-9622,2018,7,3,234 - 244,KELLY GIOVANNA MUNOZ BALCAZAR
00000000016547,True,Revista de divulgación,Educación para la ciudadanía: una apuesta para la transformación social,Colombia,Revista Ciencias Humanas,0123-5826,2015,12,1,15 - 19,WILLIAN FREDY PALTA VELASCO
00000000011727,True,Revista de divulgación,De la lucha por la ciudadanía a la transformación colectiva activista de los movimientos sociales. Perspectivas desde el reconocimiento de la diferencia,Colombia,Conciencia Revista Multidisciplinaria,2256-1625,2018,8,,20 - 30,KELLY GIOVANNA MUNOZ BALCAZAR
00000000016547,True,Revista de divulgación,La equidad de género como apuesta ética: en busca del horizonte pedagógico,Colombia,Revista Ciencias Humanas,0123-5826,2016,13,,82 - 90,WILLIAN FREDY PALTA VELASCO
00000000016547,True,Revista de divulgación,"ESPIRITUALIDAD, PROXIMIDAD Y EDUCACIÓN",Colombia,Revista De Investigaciones,2539-5122,2017,17,30,8 - 9,WILLIAN FREDY PALTA VELASCO
00000000016547,True,Revista de divulgación,La Proximidad como apuesta escolar para la paz,Colombia,Maestr@S,1900-7620,2017,1,,28 - 36,"FERNEY PALTA VELASCO, WILLIAN FREDY PALTA VELASCO"
00000000016547,True,Revista de divulgación,Memoria histórica de cinco mujeres afrodescendientes Victimas indirectas del conflicto social y armado,Colombia,Sabia. Revista Científica,2323-0576,2019,4,1,40 - 51,ALEXANDER LUNA NIETO
00000000016547,True,Revista de divulgación,Tejidos metodológicos en trabajo social.Reflexiones a partir de la investigación ¿ intervención,Colombia,Sabia. Revista Científica,2323-0576,2019,4,1,128 - 138,ALEXANDER LUNA NIETO
00000000011727,True,Revista de divulgación,APROPIACIÓN SOCIAL DEL PROYECTO ALTERNATIVAS PARA EL USO DE SUBPRODUCTOS DERIVADOS DE LA AGROINDUSTRIA PISCÍCOLA CON LOS PRODUCTORES DEL CAUCA,Colombia,Escópica - Comunicación/Imagen/Cultura,2346-2280,2018,4,,68 - 72,CAROLINA QUINONEZ ZUNIGA
00000000016547,True,Revista de divulgación,Productividad y desarrollo. Colombia: una débil agenda de Competitividad al 2022,Colombia,Revista De Economía & Administración,1794-7561,2019,16,2,35 - 48,JUAN DIEGO CASTRILLON CORDOVEZ
00000000011727,True,Revista de divulgación,Tras la Huellas de Alejandro González Iñárritu,Colombia,Escópica - Comunicación/Imagen/Cultura,2346-2280,2015,2,2,14 - 27,ALEX ANDRES LOPEZ GUEVARA
00000000008372,True,Periódico de noticias,Primera entrega: Una ciudad en Tensión: Popayán durante 1810,Colombia,Diario El Liberal,0121-9022,2009,N/P,,8A - 8A,DAVID FERNANDO PRADO VALENCIA
00000000011727,True,Revista de divulgación,"El paso indiscriminado por cuerpos: las prepago, jóvenes dentro de una economía sexual.",Colombia,Escópica - Comunicación/Imagen/Cultura,2346-2280,2013,1,,73 - 81,ADRIANA DEL ROCIO HERNANDEZ YASNO
00000000008372,True,Periódico de noticias,Segunda entrega: Una ciudad en Tensión: Popayán durante 1810,Colombia,Diario El Liberal,0121-9022,2009,n/p,,6A - 6A,DAVID FERNANDO PRADO VALENCIA
00000000008372,True,Periódico de noticias,La dictadura de Bolívar: Una colisión de las ideas1826-1830,Colombia,Diario El Liberal,0121-9022,2009,n/p,,4A - 4A,DAVID FERNANDO PRADO VALENCIA
00000000001162,True,Periódico de noticias,Hegemonías y proliferación de la multiplicidad: los cerramientos del pensamiento moderno/imperial y el valor de la diversidad epistemológico/existencial,Venezuela,Diálogo De Saberes,1856-8645,2012,1,,28 - 43,OLVER BOLIVAR QUIJANO VALENCIA
00000000011727,True,Revista de divulgación,Las prepago jóvenes dentro de una economia sexual,Colombia,Escópica - Comunicación/Imagen/Cultura,2346-2280,2014,1,1,1 - 183,ADRIANA DEL ROCIO HERNANDEZ YASNO
00000000005369,True,Revista de divulgación,Ciudadania y propiedad de los medios de comunicación - La radio,Colombia,Perspectivas,2011-7345,2010,2,,1 - 112,GLORIA MIRIAM ERAZO ARCOS
00000000005369,True,Periódico de noticias,La Lectura y la Escritura: su importancia en las metodologías de investigación en comunicación.,Colombia,Perspectivas,2011-7345,2012,4,,77 - 84,PAULO PAZ RAMOS
