idcvlac,nombre,activa
0000020456,Probioticos en alimentación animal,Si
0001480205,MERCADEO  Y COMERCIALIZACIÓN,Si
0001480205,COSTOS DE PRODUCCION,No
0001627047,Administración Agro empresarial,Si
0001627047,Desarrollo Rural,Si
0001627047,agropecuaria,Si
0000114042,Desarrollo agropecuario,Si
0001371605,Desarrollo rural,Si
0001371605,Socio-antropológica,Si
0001371605,Historica,No
0001371605,Enfoque de género,Si
0001494070,Calidad alimentaria,Si
0001494070,Valor nutricional de alimentos,Si
0001459020,Recursos genéticos,Si
0001459020,EMPRESAS SOSTENIBLES,No
0001459020,Biotecnología,Si
0001459020,RECURSOS NATURALES,No
0001459020,Mejoramiento Genético,Si
0000446190,Restauración de ecosistemas,Si
0000446190,Taxonomía,Si
0000446190,Botánica Aplicada,Si
0000012726,Biodiversidad,Si
0000012726,Etnoeducaciòn,Si
0000012726,Etnobotanica Aplicada,Si
0000012726,BIODIVERSIDAD,No
0000012726,CONOCIMIENTO TRADICIONAL,No
0000012726,ETNOBOTANICA,No
0000012726,POLITICA Y LEGISLACION,No
0001442647,Etnobotánica Médica,Si
0000311740,desarrollo regional,Si
0000311740,Uso y aprovechamiento de la Biodiversidad,Si
0000037938,Ciencias Naturales,Si
0000037938,Ciencias de la Salud,Si
0000037938,Avances tecnológicos,Si
0000037938,Ciencias Humanas,Si
0000137327,Conservación biológica,Si
0000137327,Zoología,Si
0000137327,Ornitología,Si
0000137327,Etnozoología,Si
0000325430,Biología Molecular,Si
0000325430,RECURSOS VEGETALES,Si
0000325430,ETNOBOTANICA,Si
0000468304,Botánica,Si
0000468304,Etnobotánica y Botánica Económica,Si
0000468304,Briofitos,Si
0000030781,AGROECOLOGIA,Si
0000612529,AREA DE OPERACIONES TECNICAS,No
0000110843,Etnomicología,Si
0001050796,Evaluación ecológica del riesgo,Si
0001050796,Mosquito control,Si
0001050796,Química ambiental,No
0001050796,Humedales construidos de flujo vertical horizontal,Si
0001629196,Derecho consuetudinario maya acerca de la cacería de subsistencia,Si
0001629196,Aspectos teórico-prácticos de la Etnobiología y Etnoecología,Si
0001629196,Cacería ritual entre mayas yucatecos y purépechas (México),Si
0000372560,Conocimiento y conservación de la biodiversidad,Si
0000472140,Palinologia y microscopia electronica,Si
0000012483,fitoquimica: antioxidantes,Si
0000012483,fitoquimica: antivirales,Si
0000012483,fitoquimica: inhibidores de enzimas,Si
0000335592,Biotecnologia uso farmacologico y medicinal,Si
0000335592,Etnomicología,Si
0000335592,Enfermedades micóticas,Si
0000335592,Resistencia microbiana,Si
0000147649,"Ecología de Artrópodos, Ornitología, Herpetología, Ecología Vegetal",Si
0000260592,Estadística,Si
0000260592,Diversidad biológica,Si
0000260592,Biología Molecular,Si
0001406339,Comunicación Ambiental,Si
0001406339,Desarrollo Rural,Si
0001406339,Estudios Bioculturales,Si
0001522867,Innovación Educativa,Si
0001522867,Gobernanza Ambiental,Si
0001522867,Antropología del Trabajo,Si
0001522867,Formación para la Investigación,Si
0001522867,Geopolítica de los Recursos Naturales,Si
0000338540,Gestión Ambiental y Territorial,Si
0001469802,INGENIERÍA DE ALIMENTOS,Si
0001469802,QUÍMICA,No
0001469802,Microscopia,Si
0001469802,Nanotecnología,Si
0001469802,Tecnologias virtuales,Si
